Feedback,Song
https://thechrdmag.com/f/aspen-jade-and-xeven-drop-new-club-anthem-infinite,INFINITE
Please be patient! This curator/pro is reviewing all the tracks received,INFINITE
https://open.spotify.com/playlist/7kllflzLAWR5PUH3PX6xms,INFINITE
"Bonjour, nous vous confirmons avoir bien diffusé votre titre sur notre antenne, nous vous remercions de votre confiance et de votre fidélité sur nos ondes et à très vite sur les antennes du Dhectar.",INFINITE
https://open.spotify.com/playlist/0NbHD7mLjpT27kAmflILeI?si=6e3dfa85234845b7,INFINITE
https://open.spotify.com/playlist/0TTdIInwWiH0HiAVOZdf7Y,INFINITE
"Super chill vocals, with an impressive performance. However though, I struggled a bit with the stuttered melodies in the drop, so unfortunately I have to pass on this occasion. Thanks for a cool listen, though, and best wishes with the release.",INFINITE
"Hello Aspen :) Hope you having a great day ! I've listened to your song and i kinda liked the vibe, i think this is a suitable song to played to be dreamy,dance! Liked your style by the way. You made a good song! I would want to share but unhappily i am looking for energy pop simlar to Dua Lipa,Taylor swift vibes nowadays . Take care !",INFINITE
"Dear Aspen Jade, Thanks a lot for reaching us. Vocals are really smooth and melodic here, instrumental part sounds clean and atmospheric here but overall we are looking for some chill and vibey R&B tracks. Best regards, La Belle Musique",INFINITE
"Hola, aquí se encuentra el link: https://qiulive.com.mx/2024/07/25/estrenos-qiu-zaryn-aspen-jade-jeristotle/",INFINITE
"hey, thanks for sending :) I like how you described it as a ""make out at the club"" track. I think that's an apt description and your voice will really speak to audiences. I was a bit dissapointed by the production though. the stutter house style is a bit overdone in my opinion. I think the drops were good, but the verses felt a bit too dark and empty to me. I'll give this a narrow pass but wish you all the best :)",INFINITE
"Hello, we only accept actual 'demos' for release consideration as stated in our profile here on Groover. We are a publishing house and hence cannot consider self-released music for marketing/publishing. Thank you Dario | Plasmapool PRO-TUNES distribution www.pro-tunes.com",INFINITE
"Thank you for sharing your track. I really like the electro-pop elements and the vocals, but I feel that the instrumental changes in rhythm in some sections don't quite fit with the overall flow of the song. This is just a matter of personal taste",INFINITE
"Hey Aspen, thanks for sending your music, lovely production! in my personal opinion i would like to suggest to go out for the classic modern electronic pop because i can feel really well your good preparation and the vocal talent, Please get my comment like a suggestion, However i'm looking for something more instrumental for my showcase, I would like to wish you the best :)",INFINITE
